timestep 	 voltage 
 
44 	 	 -49.7968
44.0008 	 	 -49.7967
44.4047 	 	 -49.723
45 	 	 -49.6148
45 	 	 -49.6148
45.0009 	 	 -49.6146
45.4204 	 	 -49.5386
46 	 	 -49.4339
46 	 	 -49.4339
46.0009 	 	 -49.4338
46.4406 	 	 -49.3546
47 	 	 -49.2542
47 	 	 -49.2542
47.0009 	 	 -49.2541
47.4351 	 	 -49.1764
47.8693 	 	 -49.0989
48 	 	 -49.0756
48 	 	 -49.0756
48.0009 	 	 -49.0755
48.4683 	 	 -48.9923
49 	 	 -48.898
49 	 	 -48.898
49.0009 	 	 -48.8979
49.4547 	 	 -48.8176
49.9086 	 	 -48.7376
50 	 	 -48.7215
50 	 	 -48.7215
50.0009 	 	 -48.7214
50.4862 	 	 -48.636
50.9714 	 	 -48.551
51 	 	 -48.546
51 	 	 -48.546
51.0009 	 	 -48.5458
51.4565 	 	 -48.4661
51.9121 	 	 -48.3866
52 	 	 -48.3713
52 	 	 -48.3713
52.0009 	 	 -48.3712
52.4833 	 	 -48.2872
52.9656 	 	 -48.2035
53 	 	 -48.1976
53 	 	 -48.1976
53.0009 	 	 -48.1974
53.4543 	 	 -48.1189
53.9076 	 	 -48.0405
54 	 	 -48.0246
54 	 	 -48.0246
54.0009 	 	 -48.0244
54.5433 	 	 -47.9309
55 	 	 -47.8523
55 	 	 -47.8523
55.0009 	 	 -47.8522
55.4432 	 	 -47.7762
55.8855 	 	 -47.7003
56 	 	 -47.6806
56 	 	 -47.6806
56.0009 	 	 -47.6805
56.602 	 	 -47.5775
57 	 	 -47.5094
57 	 	 -47.5094
57.0009 	 	 -47.5092
57.4545 	 	 -47.4317
58 	 	 -47.3385
58 	 	 -47.3385
58.001 	 	 -47.3383
58.6482 	 	 -47.2277
59 	 	 -47.1677
59 	 	 -47.1677
59.4326 	 	 -47.0938
60 	 	 -46.9968
60 	 	 -46.9968
60.001 	 	 -46.9966
60.598 	 	 -46.8946
61 	 	 -46.8257
61 	 	 -46.8257
61.3053 	 	 -46.7734
62 	 	 -46.6539
62 	 	 -46.6539
62.0011 	 	 -46.6537
62.6478 	 	 -46.5421
63 	 	 -46.4812
63 	 	 -46.4812
63.366 	 	 -46.4178
64 	 	 -46.3073
64 	 	 -46.3073
64.4096 	 	 -46.2357
65 	 	 -46.1317
65 	 	 -46.1317
65.3325 	 	 -46.073
66 	 	 -45.9541
66 	 	 -45.9541
66.2976 	 	 -45.9009
67 	 	 -45.7739
67 	 	 -45.7739
67.266 	 	 -45.7256
67.9555 	 	 -45.5988
68 	 	 -45.5905
68 	 	 -45.5905
68.2353 	 	 -45.5469
68.8724 	 	 -45.4273
69 	 	 -45.4031
69 	 	 -45.4031
69.2073 	 	 -45.3638
69.7926 	 	 -45.2512
70 	 	 -45.2107
70 	 	 -45.2107
70.1834 	 	 -45.1749
70.7158 	 	 -45.0695
71 	 	 -45.0123
71 	 	 -45.0123
71.1629 	 	 -44.9794
71.6435 	 	 -44.8809
72 	 	 -44.8065
72 	 	 -44.8065
72.1451 	 	 -44.776
72.5758 	 	 -44.6841
73 	 	 -44.5915
73 	 	 -44.5915
73.1295 	 	 -44.5631
73.5132 	 	 -44.4771
74 	 	 -44.3654
74 	 	 -44.3654
74.1157 	 	 -44.3384
74.4555 	 	 -44.2578
75 	 	 -44.125
75 	 	 -44.125
75.1033 	 	 -44.0993
75.4021 	 	 -44.0234
76 	 	 -43.8667
76 	 	 -43.8667
76.0918 	 	 -43.8419
76.3523 	 	 -43.7701
76.8756 	 	 -43.6212
77 	 	 -43.5847
77 	 	 -43.5847
77.0924 	 	 -43.5571
77.3204 	 	 -43.4876
77.8152 	 	 -43.3313
78 	 	 -43.2705
78 	 	 -43.2705
78.0821 	 	 -43.2429
78.2764 	 	 -43.1761
78.6909 	 	 -43.028
79 	 	 -42.9118
79 	 	 -42.9118
79.0964 	 	 -42.8741
79.2611 	 	 -42.8079
